"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"souvenance" 0.02 0 0 0.02
"stature" 0 0.02 0.02 0
"suivant" 0 0.02 0.02 0
"surprendre" 0 0 0 0.04
"tableaux" 0.02 0.02 0 0
"tache" 0 0.02 0 0.02
"taire" 0 0 0 0.04
"tantôt" 0 0.02 0.02 0
"tarder" 0 0.02 0 0.02
"teint" 0.02 0.02 0 0
"tele" 0.02 0 0.02 0
"tenés" 0 0 0.04 0
"tenue" 0 0 0 0.04
"tenuë" 0 0 0 0.04
"terrestre" 0 0.04 0 0
"tertre" 0.04 0 0 0
"tiennent" 0 0 0.04 0
"tiers" 0 0 0.04 0
"tissus" 0 0 0.04 0
"toises" 0.04 0 0 0
"toluës" 0.02 0 0 0.02
"tombant" 0 0.04 0 0
"torment" 0.02 0 0.02 0
"tost" 0.02 0 0.02 0
"tôt" 0.02 0 0.02 0
"tour" 0 0.02 0.02 0
"tourné" 0 0 0.02 0.02
"traîtresse" 0 0 0 0.04
"travaillerai" 0 0 0.04 0
"trembler" 0 0.04 0 0
"très" 0.02 0.02 0 0
"tresors" 0 0 0 0.04
"trésors" 0 0 0.02 0.02
"tretous" 0 0 0.02 0.02
"tretoutes" 0.02 0 0 0.02
"treuve" 0.02 0 0 0.02
"trichéors" 0.02 0 0 0.02
"tristement" 0 0.02 0 0.02
"triton" 0 0 0.04 0
"troupe" 0 0.04 0 0
"trouvé" 0.02 0.02 0 0
"trouvèrent" 0 0 0 0.04
"trover" 0 0.02 0 0.02
"trueve" 0 0 0 0.04
"truissiés" 0 0.04 0 0
"tuer" 0 0 0.02 0.02
"uevre" 0 0 0 0.04
"usages" 0 0 0.04 0
"use" 0.04 0 0 0
"usure" 0.04 0 0 0
"v" 0 0.04 0 0
"vaillance" 0.02 0 0 0.02
"vaillant" 0 0.04 0 0
"vaincu" 0 0 0.04 0
"vair" 0 0 0.04 0
"vairs" 0 0.04 0 0
"valérius" 0 0 0.04 0
"valés" 0.02 0 0 0.02
"valez" 0 0 0.02 0.02
"vante" 0 0 0 0.04
"vanterie" 0 0 0 0.04
"varlets" 0.02 0 0 0.02
"vaudrait" 0 0 0.02 0.02
"veil" 0.02 0.02 0 0
"véisse" 0 0.04 0 0
"véissiés" 0 0.04 0 0
"véist" 0.02 0 0.02 0
"véistes" 0 0.04 0 0
"velus" 0.04 0 0 0
"vengeance" 0.02 0 0.02 0
"venimeuse" 0 0 0.04 0
"venin" 0 0 0.04 0
"venist" 0.02 0 0 0.02
"venoit" 0 0.02 0 0.02
"verdure" 0.04 0 0 0
"verge" 0 0 0.04 0
"verte" 0.04 0 0 0
"vertus" 0.02 0 0 0.02
"verve" 0 0 0.04 0
"vestu" 0.02 0.02 0 0
"vestus" 0 0.04 0 0
"vet" 0 0 0.04 0
"vices" 0 0 0 0.04
"vieilles" 0.02 0 0.02 0
"viele" 0 0 0.04 0
"viellece" 0.04 0 0 0
"viengne" 0 0 0 0.04
"viennent" 0 0.02 0.02 0
"vilains" 0 0 0.02 0.02
"vile" 0.02 0 0.02 0
"vilté" 0 0 0.02 0.02
"vision" 0.04 0 0 0
"vivent" 0 0.04 0 0
"voisin" 0 0 0.04 0
"volentiers" 0.02 0.02 0 0
"volonté" 0 0 0.02 0.02
"volontiers" 0 0.04 0 0
"vorroit" 0.02 0 0 0.02
"vorroit-ele" 0.04 0 0 0
"voudra" 0 0 0 0.04
"voudrait" 0 0 0.02 0.02
"vraiment" 0 0.02 0.02 0
"yver" 0.04 0 0 0
"aatir" 0.02 0 0 0
"abandonner" 0 0 0 0.02
"abatre" 0.02 0 0 0
"abelissoit" 0.02 0 0 0
"abîmée" 0 0 0.02 0
"abondamment" 0.02 0 0 0
"abrié" 0.02 0 0 0
"abrité" 0.02 0 0 0
"absolument" 0 0 0 0.02
"abstinence" 0.02 0 0 0
"abuser" 0 0 0.02 0
"açaignant" 0 0.02 0 0
"accablent" 0 0 0.02 0
"accès" 0 0.02 0 0
"acclamèrent" 0 0 0 0.02
"accordé" 0 0 0 0.02
"accordée" 0 0 0.02 0
"accorder" 0 0 0 0.02
"accorte" 0 0.02 0 0
"accourut" 0 0 0.02 0
"accrocher" 0.02 0 0 0
"accroupissait" 0 0.02 0 0
"accrurent" 0 0 0 0.02
"acesmé" 0 0.02 0 0
"acesmés" 0 0.02 0 0
"acharnement" 0.02 0 0 0
"achever" 0 0 0 0.02
"achoisons" 0 0 0 0.02
"acointe" 0 0.02 0 0
"acoler" 0.02 0 0 0
"acompaigne" 0 0 0.02 0
"acorast" 0 0.02 0 0
"acord" 0 0 0.02 0
"acordance" 0 0.02 0 0
"acordé" 0 0 0 0.02
"acordée" 0 0 0.02 0
"acoupie" 0 0 0 0.02
"acquérir" 0 0 0.02 0
"acquerre" 0 0 0.02 0
"acrochier" 0.02 0 0 0
"acteur" 0.02 0 0 0
"admet" 0 0 0 0.02
"admirant" 0 0 0.02 0
"admirer" 0.02 0 0 0
"adolescence" 0 0.02 0 0
"adonques" 0 0.02 0 0
"adresce" 0.02 0 0 0
"adresse" 0.02 0 0 0
"adroit" 0 0.02 0 0
"adultère" 0 0 0.02 0
"advenir" 0 0 0.02 0
"advenu" 0 0 0.02 0
"advenue" 0.02 0 0 0
"advienne" 0 0 0 0.02
"aerdre" 0 0 0 0.02
"aesmer" 0 0.02 0 0
"afaire" 0.02 0 0 0
"afferme" 0 0 0 0.02
"affirma" 0 0 0 0.02
"affolé" 0 0 0.02 0
"affubler" 0 0.02 0 0
"afin" 0.02 0 0 0
"afole" 0 0 0 0.02
"afolé" 0 0 0.02 0
"afubler" 0 0.02 0 0
"agile" 0 0.02 0 0
"agilité" 0 0.02 0 0
"agit" 0 0 0 0.02
"agneaux" 0.02 0 0 0
"agniaus" 0.02 0 0 0
"agréa" 0 0.02 0 0
"agréable" 0 0 0 0.02
"agréables" 0 0 0 0.02
"aguiller" 0.02 0 0 0
"ai-je" 0.02 0 0 0
"aidier" 0.02 0 0 0
"aie" 0 0 0 0.02
"aiguille" 0.02 0 0 0
"ailleurs" 0 0.02 0 0
"aimables" 0 0 0.02 0
"aimaient" 0 0 0.02 0
"aimait" 0 0 0.02 0
"aint" 0 0 0.02 0
"airs" 0 0 0.02 0
"aisément" 0 0 0 0.02
"aissaille" 0 0 0 0.02
"ajustements" 0 0.02 0 0
"alaine" 0 0 0.02 0
"alaite" 0 0 0 0.02
"alasse" 0 0.02 0 0
"alast" 0.02 0 0 0
"alastes" 0 0 0.02 0
"alé" 0.02 0 0 0
"alene" 0 0.02 0 0
"alentour" 0 0.02 0 0
"alés" 0 0 0.02 0
"aléure" 0 0.02 0 0
"alla" 0 0 0.02 0
"allaitant" 0 0 0 0.02
"allant" 0 0 0.02 0
"allez" 0 0 0.02 0
"alliez" 0 0 0.02 0
"aloes" 0 0.02 0 0
"aloit" 0.02 0 0 0
"alouette" 0 0.02 0 0
"amaigris" 0 0 0.02 0
"amants" 0 0 0 0.02
"amassées" 0 0.02 0 0
"amassent" 0 0 0 0.02
"amasserent" 0 0 0 0.02
"amassèrent" 0 0 0 0.02
"ambdeus" 0 0.02 0 0
"ambedeus" 0 0 0.02 0
"ambedui" 0 0.02 0 0
"àme" 0 0 0.02 0
"amegrir" 0 0.02 0 0
"amegris" 0 0 0.02 0
"amena" 0 0 0.02 0
"amène" 0 0 0 0.02
"aménité" 0.02 0 0 0
"amere" 0 0 0 0.02
"amiablement" 0 0 0 0.02
"amoient" 0 0.02 0 0
"amoit" 0 0 0.02 0
"amorcer" 0 0 0 0.02
"amorete" 0 0 0 0.02
"amuser" 0.02 0 0 0
"an" 0.02 0 0 0
"ancien" 0 0 0.02 0
"andui" 0 0 0.02 0
"anel" 0 0 0 0.02
"anemie" 0.02 0 0 0
"anemis" 0 0 0.02 0
"angoisseus" 0 0.02 0 0
"anneau" 0 0 0 0.02
"annoncer" 0.02 0 0 0
"anoiantis" 0.02 0 0 0
"anuis" 0 0 0 0.02
"anuiz" 0.02 0 0 0
"aorse" 0 0 0.02 0
"apaiser" 0 0 0 0.02
"aparcevoir" 0 0 0 0.02
"apareille" 0 0 0.02 0
"apeler" 0 0.02 0 0
"apelez" 0.02 0 0 0
"apellée" 0.02 0 0 0
"apensast" 0 0 0.02 0
"aperçut" 0 0.02 0 0
"aperent" 0 0 0.02 0
"apertement" 0.02 0 0 0
"apetisier" 0.02 0 0 0
"apetisser" 0.02 0 0 0
"aporter" 0 0.02 0 0
"apparant" 0.02 0 0 0
"apparence" 0.02 0 0 0
"apparut" 0.02 0 0 0
"appas" 0 0 0.02 0
"appel" 0 0 0 0.02
"appela" 0 0.02 0 0
"appelle" 0 0 0.02 0
"applaudir" 0 0.02 0 0
"applique" 0 0 0 0.02
"apprenne" 0 0 0 0.02
"apprivoiser" 0 0 0 0.02
"approchait" 0 0.02 0 0
"approprierent" 0 0 0 0.02
"approprièrent" 0 0 0 0.02
"aprenti" 0 0.02 0 0
"aprises" 0 0 0 0.02
"aprivoisier" 0 0 0 0.02
"aquerre" 0 0 0 0.02
"aquis" 0 0 0 0.02
"arabie" 0 0 0.02 0
"ardeurs" 0 0 0.02 0
"ardoit" 0.02 0 0 0
"ardor" 0 0 0.02 0
"ardure" 0.02 0 0 0
"arme" 0 0.02 0 0
"armée" 0.02 0 0 0
"aroie" 0 0.02 0 0
"arondeles" 0 0.02 0 0
"arqué" 0 0.02 0 0
"arrabe" 0 0 0.02 0
"arrachés" 0 0 0.02 0
"arrest" 0 0.02 0 0
"arrêtait" 0.02 0 0 0
"arrête" 0.02 0 0 0
"arriere" 0.02 0 0 0
"arrive" 0.02 0 0 0
"arriver" 0 0.02 0 0
"arrondie" 0 0.02 0 0
"arrosée" 0.02 0 0 0
"ars" 0 0 0 0.02
"artificieuse" 0 0 0.02 0
"aséur" 0 0 0 0.02
"aspect" 0.02 0 0 0
"assailli" 0 0 0.02 0
"assaillie" 0 0 0.02 0
"assauts" 0 0 0 0.02
"assés" 0 0.02 0 0
"asséur" 0 0 0 0.02
"assidue" 0 0.02 0 0
"associez" 0 0 0.02 0
"assouvir" 0.02 0 0 0
"assurance" 0 0 0 0.02
"assure" 0 0 0.02 0
"assurément" 0.02 0 0 0
"asur" 0 0.02 0 0
"ataindre" 0 0 0.02 0
"ataïnes" 0 0 0.02 0
"atalente" 0 0 0 0.02
"atapissoit" 0 0.02 0 0
"aticiés" 0 0 0 0.02
"atise" 0.02 0 0 0
"atorner" 0 0.02 0 0
"atourné" 0 0.02 0 0
"atournée" 0.02 0 0 0
"atourner" 0 0.02 0 0
"atrempée" 0.02 0 0 0
"attache" 0.02 0 0 0
"attacher" 0 0 0 0.02
"attachèrent" 0 0 0 0.02
"atteignit" 0 0 0.02 0
"attendent" 0.02 0 0 0
"attendre" 0 0 0 0.02
"attentive" 0.02 0 0 0
"attise" 0.02 0 0 0
"attraits" 0 0 0 0.02
"attraper" 0 0 0 0.02
"auctor" 0 0 0.02 0
"aujourd" 0 0.02 0 0
"aüner" 0.02 0 0 0
"auréole" 0 0.02 0 0
"auroit" 0 0 0 0.02
"aus" 0 0 0.02 0
"aussitôt" 0 0.02 0 0
"aut" 0 0 0 0.02
"auteur" 0 0 0.02 0
"autresi" 0 0.02 0 0
"auvens" 0 0 0.02 0
"auvents" 0 0 0.02 0
"auxquelles" 0 0 0.02 0
"avaient" 0 0 0.02 0
"avale" 0.02 0 0 0
"avantage" 0 0 0.02 0
"avare" 0 0 0.02 0
"avecques" 0 0.02 0 0
"avenaument" 0 0.02 0 0
"avendra" 0 0 0 0.02
"avenir" 0 0 0.02 0
"avéré" 0 0 0 0.02
"avertissement" 0.02 0 0 0
"avés-vous" 0 0 0.02 0
"aveugle" 0 0 0 0.02
"avez-vous" 0 0 0.02 0
"aviengne" 0.02 0 0 0
"avilie" 0 0 0 0.02
"avilir" 0 0 0 0.02
"avisé" 0 0.02 0 0
"avoient" 0.02 0 0 0
"avoirs" 0.02 0 0 0
"avouer" 0 0 0 0.02
"avugles" 0 0 0 0.02
"ayant" 0 0.02 0 0
"azur" 0 0.02 0 0
"bacins" 0 0.02 0 0
"baillast" 0 0 0.02 0
"baillèrent" 0 0 0 0.02
"baillie" 0.02 0 0 0
"baillier" 0 0 0 0.02
"bailliés" 0 0 0.02 0
"baiser" 0.02 0 0 0
"balaient" 0 0.02 0 0
"balez" 0 0 0.02 0
"ballierent" 0 0 0 0.02
"baloient" 0 0.02 0 0
"bandon" 0 0 0.02 0
"baoient" 0 0.02 0 0
"barat" 0 0 0.02 0
"bareter" 0.02 0 0 0
"barré" 0 0.02 0 0
"barrée" 0 0.02 0 0
"barrés" 0 0.02 0 0
"barrière" 0 0.02 0 0
"barrières" 0 0 0 0.02
"bassin" 0 0.02 0 0
"bassins" 0 0 0 0.02
"basti" 0 0 0 0.02
"bataillié" 0.02 0 0 0
"bate" 0 0 0 0.02
"batirent" 0 0 0 0.02
"bâton" 0 0 0.02 0
"battirent" 0 0 0 0.02
"battre" 0 0 0.02 0
"batus" 0 0.02 0 0
"baudes" 0 0 0.02 0
"baus" 0 0.02 0 0
"béant" 0.02 0 0 0
"bec" 0.02 0 0 0
"belement" 0 0.02 0 0
"bellement" 0 0.02 0 0
"bendes" 0 0 0.02 0
"berger" 0 0.02 0 0
"bergeronnettes" 0 0.02 0 0
"bergiers" 0 0.02 0 0
"bescochier" 0.02 0 0 0
"besoigne" 0 0 0 0.02
"besoin" 0 0 0 0.02
"beste" 0 0 0 0.02
"bête" 0 0 0 0.02
"biais" 0.02 0 0 0
"biautés" 0 0 0 0.02
"biaux" 0 0.02 0 0
"bienfaisante" 0.02 0 0 0
"bienvenue" 0 0 0 0.02
"bissac" 0 0.02 0 0
"blancs" 0 0.02 0 0
"blandir" 0 0 0 0.02
"blans" 0 0.02 0 0
"blasme" 0.02 0 0 0
"blason" 0.02 0 0 0
"bléce" 0.02 0 0 0
"blonde" 0 0.02 0 0
"blondes" 0 0 0.02 0
"boisson" 0.02 0 0 0
"boissons" 0.02 0 0 0
"bonds" 0.02 0 0 0
"bone" 0.02 0 0 0
"bonté" 0 0.02 0 0
"bontés" 0 0 0.02 0
"borgnoiant" 0.02 0 0 0
"bouches" 0 0.02 0 0
"bourses" 0 0 0 0.02
"boutai" 0 0.02 0 0
"boutée" 0 0.02 0 0
"bouton" 0 0.02 0 0
"bricons" 0 0.02 0 0
"brief" 0 0 0 0.02
"briément" 0 0 0 0.02
"brillait" 0 0.02 0 0
"brillant" 0 0.02 0 0
"briserai" 0 0 0.02 0
"brisier" 0 0 0.02 0
"brodequin" 0 0.02 0 0
"bruiant" 0.02 0 0 0
"bruire" 0.02 0 0 0
"brûlais" 0 0.02 0 0
"brûlants" 0 0 0.02 0
"brûler" 0 0 0.02 0
"brunete" 0.02 0 0 0
"bruns" 0 0.02 0 0
"brus" 0 0 0.02 0
"bube" 0 0.02 0 0
"bugles" 0 0 0 0.02
"buisson" 0.02 0 0 0
"buissons" 0.02 0 0 0
"but" 0.02 0 0 0
"ç" 0 0.02 0 0
"çà" 0 0.02 0 0
"cacher" 0 0 0 0.02
"cachés" 0 0 0.02 0
"cadence" 0 0.02 0 0
"çainture" 0 0 0 0.02
"calandre" 0.02 0 0 0
"calculer" 0 0 0.02 0
"calendres" 0 0.02 0 0
"calmer" 0.02 0 0 0
"cambrait" 0 0.02 0 0
"caquetant" 0 0.02 0 0
"caqueter" 0.02 0 0 0
"caresse" 0 0 0 0.02
"caroler" 0 0.02 0 0
"carré" 0 0.02 0 0
"carrée" 0 0.02 0 0
"casser" 0 0 0.02 0
"castels" 0 0 0 0.02
"cautele" 0 0 0.02 0
"cauteleux" 0.02 0 0 0
"cavernes" 0 0 0 0.02
"cel" 0.02 0 0 0
"celéement" 0.02 0 0 0
"celes" 0 0 0 0.02
"céleste" 0 0.02 0 0
"cens" 0 0 0.02 0
"cerchier" 0 0 0.02 0
"certainement" 0 0 0 0.02
"certaineté" 0 0 0 0.02
"certe" 0.02 0 0 0
"cerveau" 0 0.02 0 0
"cessaient" 0 0.02 0 0
"cessèrent" 0 0 0 0.02
"cessierent" 0 0 0.02 0
"cestes" 0 0 0 0.02
"cestui" 0 0 0 0.02
"chacune" 0 0 0 0.02
"chagrins" 0.02 0 0 0
"chaiaus" 0 0 0 0.02
"chaînes" 0 0 0.02 0
"changée" 0.02 0 0 0
"changement" 0 0 0 0.02
"changent" 0 0 0.02 0
"changer" 0 0 0.02 0
"changiés" 0 0 0.02 0
"chansonnettes" 0 0.02 0 0
"chantaient" 0 0.02 0 0
"chantants" 0 0.02 0 0
"chantent" 0 0.02 0 0
"chanteurs" 0 0.02 0 0
"chapelet" 0 0.02 0 0
"chaque" 0.02 0 0 0
"chardonnereaus" 0 0.02 0 0
"chardonnerets" 0 0.02 0 0
"charmantes" 0 0 0 0.02
"charroieresse" 0 0 0.02 0
"chas" 0 0 0 0.02
"chascune" 0 0 0 0.02
"chassée" 0 0.02 0 0
"chasseur" 0 0 0 0.02
"chastéé" 0 0 0 0.02
"chasteté" 0 0 0 0.02
"chasti" 0 0 0 0.02
"chastiaus" 0 0 0 0.02
"chastier" 0 0 0 0.02
"chastoie" 0 0 0 0.02
"chauçai" 0.02 0 0 0
"chaucie" 0 0.02 0 0
"chaude" 0 0 0.02 0
"chausist" 0 0 0 0.02
"chaussai" 0.02 0 0 0
"chaussée" 0 0 0.02 0
"chaussons" 0 0 0.02 0
"chef" 0 0 0.02 0
"chenue" 0.02 0 0 0
"chenuë" 0.02 0 0 0
"cher" 0.02 0 0 0
"cherchant" 0 0.02 0 0
"cherche" 0.02 0 0 0
"chère" 0 0 0.02 0
"chetis" 0 0 0 0.02
"chéus" 0 0 0.02 0
"cheval" 0 0 0.02 0
"chevet" 0 0 0.02 0
"cheveul" 0.02 0 0 0
"cheveulx" 0 0 0.02 0
"chevir" 0 0 0.02 0
"chez" 0 0 0.02 0
"choisirent" 0 0 0 0.02
"chu" 0 0 0.02 0
"chuant" 0 0 0.02 0
"ci-devant" 0 0 0.02 0
"ci-haut" 0 0 0.02 0
"cieux" 0 0.02 0 0
"cilz" 0.02 0 0 0
"cincq" 0.02 0 0 0
"cinq" 0.02 0 0 0
"cipion" 0.02 0 0 0
"ciselé" 0.02 0 0 0
"claiment" 0 0 0.02 0
"clair" 0 0 0 0.02
"clairement" 0.02 0 0 0
"clamait" 0 0 0.02 0
"clamer" 0 0 0.02 0
"clamés" 0 0 0.02 0
"clamoit" 0 0 0.02 0
"clamors" 0 0 0 0.02
"clerc" 0.02 0 0 0
"clochez" 0 0 0.02 0
"clochiés" 0 0 0.02 0
"cloison" 0 0.02 0 0
"clooit" 0.02 0 0 0
"cocue" 0 0 0 0.02
"coeur-failli" 0 0 0.02 0
"cogne" 0 0 0.02 0
"cognoissoit" 0.02 0 0 0
"coiffure" 0 0.02 0 0
"coignet" 0 0.02 0 0
"coin" 0 0.02 0 0
"cointement" 0 0.02 0 0
"cointise" 0 0.02 0 0
"cols" 0 0 0.02 0
"combattaient" 0 0 0 0.02
"combattre" 0 0 0 0.02
"combler" 0 0 0.02 0
"comédie" 0.02 0 0 0
"commandait" 0 0 0.02 0
"commandast" 0 0 0.02 0
"commandement" 0 0 0 0.02
"commandés" 0 0 0.02 0
"commant" 0 0 0 0.02
"commanz" 0.02 0 0 0
"commençai" 0 0.02 0 0
"commencemens" 0 0 0 0.02
"commencement" 0 0 0 0.02
"commencer" 0.02 0 0 0
"commencera" 0.02 0 0 0
"commencié" 0.02 0 0 0
"commun" 0 0 0 0.02
"communément" 0 0 0 0.02
"compagne" 0 0 0.02 0
"compaignons" 0 0 0 0.02
"compasséure" 0 0.02 0 0
"comper" 0 0 0 0.02
"compere" 0.02 0 0 0
"composer" 0 0 0 0.02
"concerts" 0 0.02 0 0
"concéus" 0 0.02 0 0
"conçut" 0 0.02 0 0
"conduira" 0 0 0 0.02
"conduite" 0 0 0 0.02
"confort" 0 0 0.02 0
"conforté" 0 0 0 0.02
"conforter" 0 0 0 0.02
"confus" 0 0 0 0.02
"confusément" 0.02 0 0 0
"congnoissans" 0 0.02 0 0
"conjuré" 0 0 0 0.02
"connaissaient" 0 0 0.02 0
"connaître" 0 0.02 0 0
"connu" 0.02 0 0 0
"conseils" 0 0 0 0.02
"constamment" 0.02 0 0 0
"consume" 0.02 0 0 0
"contemplais" 0 0.02 0 0
"contemplé" 0 0.02 0 0
"contempler" 0 0.02 0 0
"contenances" 0 0.02 0 0
"contendra" 0 0 0 0.02
"contenement" 0 0.02 0 0
"contens" 0 0 0.02 0
"contente" 0.02 0 0 0
"continuer" 0 0 0 0.02
"contournant" 0 0.02 0 0
"contredire" 0 0 0 0.02
"contrueve" 0 0 0.02 0
"convie" 0 0.02 0 0
"convint" 0 0 0 0.02
"coquette" 0 0 0 0.02
"cordé" 0 0 0.02 0
"cordele" 0 0 0 0.02
"cordelle" 0 0 0 0.02
"cordon" 0 0.02 0 0
"coroient" 0 0 0 0.02
"coroit" 0.02 0 0 0
"corones" 0 0 0.02 0
"corporelle" 0 0 0.02 0
"correceuse" 0.02 0 0 0
"correcié" 0.02 0 0 0
"corroce" 0 0 0.02 0
"corroies" 0 0 0 0.02
"corrompus" 0 0 0 0.02
"corroucié" 0 0 0 0.02
"corsu" 0 0 0 0.02
"corte" 0 0 0.02 0
"cortoise" 0 0.02 0 0
"cortoises" 0 0.02 0 0
"costés" 0 0 0.02 0
"costoiant" 0.02 0 0 0
"côté" 0.02 0 0 0
"cotele" 0 0 0 0.02
"cotelle" 0 0 0 0.02
"côtés" 0.02 0 0 0
"cotiser" 0 0 0 0.02
"côtoyant" 0.02 0 0 0
"cottes" 0 0 0 0.02
"couchiez" 0.02 0 0 0
"coulait" 0.02 0 0 0
"coulent" 0.02 0 0 0
"couleurs" 0.02 0 0 0
"coupe" 0 0.02 0 0
"couple" 0 0.02 0 0
"courait" 0 0.02 0 0
"courant" 0.02 0 0 0
"couronner" 0 0 0 0.02
"couronnes" 0 0 0.02 0
"courroucé" 0.02 0 0 0
"course" 0.02 0 0 0
"courtois" 0 0.02 0 0
"courtoises" 0 0.02 0 0
"couru" 0 0 0 0.02
"courus" 0.02 0 0 0
"coustent" 0 0 0.02 0
"cousue" 0 0.02 0 0
"cousues" 0 0.02 0 0
"coûtent" 0 0 0.02 0
"coutiaus" 0 0 0 0.02
"coutume" 0.02 0 0 0
"coutumière" 0 0.02 0 0
"couvée" 0 0 0 0.02
"couvent" 0 0.02 0 0
"couvert" 0.02 0 0 0
"couvertement" 0.02 0 0 0
"couvoitise" 0.02 0 0 0
"couvre" 0 0 0.02 0
"couvrechef" 0 0 0 0.02
"couvrir" 0.02 0 0 0
"covée" 0 0 0 0.02
"covert" 0.02 0 0 0
"covine" 0 0 0.02 0
"covrir" 0.02 0 0 0
"craindra" 0 0 0.02 0
"crainte" 0 0 0.02 0
"crédule" 0 0 0.02 0
"créneaux" 0 0 0 0.02
"crénelé" 0.02 0 0 0
"creniaus" 0 0 0 0.02
"créu" 0 0.02 0 0
"créuës" 0 0 0 0.02
"creusé" 0.02 0 0 0
"crève" 0 0 0.02 0
"criait" 0 0.02 0 0
"criant" 0 0 0 0.02
"crier" 0 0 0 0.02
"crime" 0 0 0 0.02
"crimes" 0.02 0 0 0
"criminelles" 0.02 0 0 0
"critiquer" 0 0 0 0.02
"crochus" 0.02 0 0 0
"croçuës" 0.02 0 0 0
"croi" 0 0 0.02 0
"croiser" 0 0.02 0 0
"croistre" 0.02 0 0 0
"croit-on" 0 0 0.02 0
"croître" 0.02 0 0 0
"cropoit" 0 0.02 0 0
"croyait" 0 0.02 0 0
"cruel" 0 0 0 0.02
"crueus" 0 0 0 0.02
"crurent" 0 0 0.02 0
"cuers-faillis" 0 0 0.02 0
"cueuvre" 0 0 0.02 0
"cuevrechief" 0 0 0 0.02
"cuida" 0 0 0.02 0
"cuidai" 0 0.02 0 0
"cuiderent" 0 0 0.02 0
"cuidier" 0.02 0 0 0
"cuidiés" 0 0 0.02 0
"cuidiés-vous" 0 0 0.02 0
"cuire" 0 0 0.02 0
"cuit-je" 0.02 0 0 0
"curée" 0 0 0 0.02
"curieux" 0 0 0.02 0
"cuvertage" 0.02 0 0 0
"cy" 0 0 0 0.02
"daignait" 0.02 0 0 0
"damoiseau" 0 0.02 0 0
"damoisele" 0 0 0.02 0
"damoiseles" 0 0.02 0 0
"damoisiaus" 0 0.02 0 0
"dampnement" 0 0 0.02 0
"dance" 0 0.02 0 0
"dances" 0 0.02 0 0
"danger" 0 0 0.02 0
"dangereux" 0 0.02 0 0
"dansait" 0 0.02 0 0
"danser" 0.02 0 0 0
"danses" 0 0.02 0 0
"danseurs" 0 0.02 0 0
"dant" 0 0.02 0 0
"dauber" 0.02 0 0 0
"dé" 0 0 0.02 0
"débats" 0.02 0 0 0
"débilité" 0.02 0 0 0
"debonnaire" 0 0.02 0 0
"debout" 0 0.02 0 0
"deçà" 0.02 0 0 0
"décéus" 0 0 0.02 0
"dechéoir" 0.02 0 0 0
"déchira" 0 0 0.02 0
"déchirée" 0.02 0 0 0
"déchoit" 0.02 0 0 0
"décompose" 0.02 0 0 0
"déconfiture" 0.02 0 0 0
"décopée" 0 0.02 0 0
"décopés" 0 0.02 0 0
"découvre" 0 0 0.02 0
"déçu" 0 0 0.02 0
"dédaignant" 0 0 0.02 0
"dédaigneux" 0 0.02 0 0
"déduiante" 0 0 0.02 0
"déduire" 0.02 0 0 0
"défaut" 0 0 0 0.02
"défendant" 0 0 0 0.02
"défende" 0 0 0 0.02
"défendez" 0 0 0.02 0
"défendrait" 0 0 0 0.02
"défendues" 0 0 0 0.02
"défense" 0 0 0.02 0
"déférence" 0 0.02 0 0
"deffendant" 0 0 0 0.02
"deffendroit" 0 0 0 0.02
"deffenduës" 0 0 0 0.02
"deffermé" 0 0.02 0 0
"deffremé" 0 0.02 0 0
"defors" 0.02 0 0 0
"defoule" 0 0 0.02 0
"dégagé" 0 0.02 0 0
"dégoûts" 0.02 0 0 0
"déist" 0 0 0.02 0
"déjanira" 0 0 0.02 0
"délaisse" 0 0 0 0.02
"délaisser" 0 0 0 0.02
"délectables" 0 0 0 0.02
"delitables" 0 0.02 0 0
"délitables" 0 0 0 0.02
"delitableté" 0 0.02 0 0
"délite" 0 0 0 0.02
"délitent" 0 0.02 0 0
"déliteus" 0.02 0 0 0
"délivrent" 0 0 0.02 0
"delivres" 0 0.02 0 0
"demandé" 0 0 0 0.02
"demandés" 0.02 0 0 0
"demandoit" 0 0 0.02 0
"dementer" 0 0.02 0 0
"demeure" 0 0 0 0.02
"demeurer" 0.02 0 0 0
"demorance" 0 0.02 0 0
"demorant" 0 0 0 0.02
"demorast" 0.02 0 0 0
"demoroient" 0 0 0 0.02
"deniers" 0 0 0.02 0
"denis" 0 0 0.02 0
"denise" 0 0 0.02 0
"dent" 0.02 0 0 0
"départirés" 0 0 0.02 0
"départirez" 0 0 0.02 0
"dépecée" 0 0 0.02 0
"dépécer" 0 0 0.02 0
"dépeindre" 0 0.02 0 0
"dépeint" 0 0 0.02 0
"dépensera" 0 0 0 0.02
"dépit" 0.02 0 0 0
"déplaise" 0 0 0.02 0
"déplier" 0 0 0 0.02
"déploya" 0 0.02 0 0
"dépouillés" 0.02 0 0 0
"déréchef" 0 0 0 0.02
"dernier" 0 0.02 0 0
"derrière" 0 0 0.02 0
"derriers" 0 0 0.02 0
"desavancera" 0.02 0 0 0
"descend" 0.02 0 0 0
"descendoit" 0.02 0 0 0
"descendues" 0 0 0 0.02
"descira" 0 0 0.02 0
"desclairier" 0.02 0 0 0
"descolorée" 0.02 0 0 0
"desconfiture" 0.02 0 0 0
"descors" 0 0 0.02 0
"desdaigneuse" 0 0.02 0 0
