"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"sot" 0.06 0.02 0.02 0.02
"tenir" 0 0.02 0.04 0.06
"tiengne" 0.04 0 0 0.08
"tote" 0.12 0 0 0
"venait" 0.02 0.06 0 0.04
"vielle" 0.02 0 0.06 0.04
"vodroit" 0 0 0.04 0.08
"voie" 0.02 0.06 0 0.04
"votre" 0 0.02 0.1 0
"yeux" 0.04 0.04 0.02 0.02
"air" 0 0.06 0.04 0
"arbres" 0 0.1 0 0
"assez" 0 0.1 0 0
"avez" 0 0.06 0.04 0
"belles" 0.02 0 0.06 0.02
"biau" 0 0.1 0 0
"bois" 0.04 0.04 0.02 0
"bonnes" 0 0.04 0 0.06
"céans" 0 0.04 0.04 0.02
"cent" 0.02 0.04 0.02 0.02
"cesse" 0.04 0.02 0.02 0.02
"chants" 0 0.1 0 0
"chat" 0 0 0 0.1
"chiens" 0.04 0 0.02 0.04
"colère" 0.02 0 0.08 0
"commande" 0.04 0 0.06 0
"compagnie" 0 0.08 0.02 0
"courtoisie" 0 0.1 0 0
"coveitise" 0.1 0 0 0
"cuers" 0.04 0 0.04 0.02
"cuide" 0.02 0 0.02 0.06
"dessus" 0.04 0.02 0.02 0.02
"dirai" 0 0.06 0.04 0
"donner" 0.04 0 0.02 0.04
"dous" 0.02 0.04 0 0.04
"dur" 0.06 0 0 0.04
"elles" 0.02 0.04 0.02 0.02
"enclose" 0.08 0 0 0.02
"ert" 0.04 0.04 0 0.02
"esprit" 0.04 0.02 0 0.04
"faille" 0 0 0.06 0.04
"faits" 0 0 0.08 0.02
"fasse" 0 0 0.02 0.08
"fer" 0.04 0 0.02 0.04
"fox" 0 0 0.1 0
"fui" 0 0.1 0 0
"g" 0 0.04 0.04 0.02
"grands" 0.02 0.02 0.06 0
"guerre" 0 0 0.08 0.02
"jardin" 0 0.1 0 0
"larrons" 0.04 0 0.04 0.02
"las" 0.02 0.02 0.06 0
"leus" 0.02 0.06 0 0.02
"lire" 0 0 0 0.1
"livres" 0 0.04 0.04 0.02
"lores" 0.02 0.06 0 0.02
"lorsqu" 0.02 0 0.02 0.06
"maint" 0 0.04 0.02 0.04
"mainte" 0 0.04 0.04 0.02
"maints" 0.04 0.04 0 0.02
"male" 0.04 0.02 0.04 0
"mestre" 0 0 0.08 0.02
"mien" 0.04 0 0 0.06
"mis" 0 0.02 0.06 0.02
"montrer" 0 0.02 0.06 0.02
"nés" 0.02 0.06 0.02 0
"neuve" 0.06 0 0.02 0.02
"novele" 0.06 0.02 0 0.02
"oi" 0.06 0.04 0 0
"oï" 0.02 0.08 0 0
"part" 0.04 0.02 0 0.04
"pauvreté" 0.02 0.04 0.04 0
"pendre" 0.02 0.04 0.04 0
"plains" 0.06 0.02 0 0.02
"plein" 0.04 0.04 0.02 0
"quanqu" 0 0 0.04 0.06
"reste" 0 0.06 0.04 0
"riches" 0.04 0.02 0.02 0.02
"rivage" 0.06 0 0.04 0
"seignor" 0 0 0.08 0.02
"sept" 0.04 0.02 0.04 0
"serve" 0 0 0.1 0
"suis" 0 0.04 0.04 0.02
"taille" 0.04 0.06 0 0
"tenoit" 0.04 0.02 0 0.04
"teste" 0.04 0 0.06 0
"tête" 0.02 0 0.06 0.02
"tint" 0.02 0.04 0 0.04
"vais" 0.02 0.04 0.02 0.02
"vert" 0.04 0.06 0 0
"vieille" 0.02 0 0.04 0.04
"vilain" 0.02 0 0.02 0.06
"vingt" 0.06 0 0 0.04
"vive" 0 0.02 0.06 0.02
"voix" 0 0.08 0.02 0
"vouloir" 0 0 0.08 0.02
"ymages" 0.06 0.04 0 0
"aille" 0 0 0 0.08
